Smiles,pIC50_calc,Molecule ChEMBL ID,Molecule Name,MW,LogP,HBD,HBA,QED
C/C=C/C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,5.850165303284215,CHEMBL4750184,,415.4970000000002,4.238400000000003,2.0,6.0,0.58652473353857
C/C=C/C(=O)Nc1ccc(-c2ccnc(Nc3cnn(CCOC)c3)n2)cc1,5.703115524461452,CHEMBL4782611,,378.43600000000015,3.2447000000000017,2.0,7.0,0.584572080036724
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)c1,5.671824338561677,CHEMBL4778980,,415.4970000000002,4.238400000000002,2.0,6.0,0.58652473353857
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(C)c3)ncn2)c1,5.558933593360737,CHEMBL4740889,,334.38300000000004,3.135300000000001,2.0,6.0,0.7003106927090393
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CC(=O)NC)c3)ncn2)c1,5.95506845385084,CHEMBL4754061,,391.4350000000001,2.3443,3.0,7.0,0.5328827798321893
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCN(C)C)c3)ncn2)c1,5.72445831159869,CHEMBL4750671,,391.47900000000016,3.1599000000000013,2.0,7.0,0.5736815163023511
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCO)c3)ncn2)c1,5.551602896542232,CHEMBL4740191,,364.4090000000001,2.5906,3.0,7.0,0.5566987851005099
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,5.58838029403677,CHEMBL4763424,,378.43600000000015,3.2447000000000017,2.0,7.0,0.584572080036724
C/C=C/C(=O)Nc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,5.554707230574028,CHEMBL4743357,,415.4970000000002,4.238400000000002,2.0,6.0,0.58652473353857
C/C=C/C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,6.316052869248487,CHEMBL3650989,,350.37800000000016,3.316200000000001,2.0,5.0,0.5433719623805506
C/C=C/C(=O)Nc1cccc(CNc2c(C(N)=O)cnn3cccc23)c1,5.698970004336019,CHEMBL4062932,,349.394,2.5599000000000007,3.0,5.0,0.5952837638760646
C/C=C/S(=O)(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651033,,386.43300000000016,3.076900000000001,2.0,6.0,0.629412736875037
C/C=C\C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651020,,350.37800000000016,3.316200000000001,2.0,5.0,0.5433719623805506
C1=C/CNCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,6.823908740944319,CHEMBL1947162,,358.44500000000016,4.315500000000003,2.0,5.0,0.5863832072227665
